,id_a,distancia
0,AA133683,1
1,AA148985,5
2,AA156225,2
3,AA173267,3
4,AA156594,5
5,AA183493,3
6,AA134070,2
7,AA118636,3
8,AA26654,2
9,AA155995,3
10,AA28509,1
11,AA149261,4
12,AA157937,4
13,AA129147,4
14,AA36931,8
15,AA122613,4
16,AA112186,3
17,AB36968,3
18,AB3635,3
19,AB32650,3
20,AB23370,4
21,AB6349,52
22,AS66941,2
23,AB29289,4
24,AC15504,5
25,AC13036,2
26,AC5969,2
27,AD28116,2
28,AD19080,2
29,AD14670,5
30,AD24298,3
31,AD27864,2
32,DZ58676,2
33,AD27459,1
34,AE21358,5
35,AE28877,3
36,AE26382,3
37,AE23669,3
38,AF18425,3
39,AF25219,3
40,AF22330,2
41,AF20280,3
42,AF5551,2
43,AF23440,3
44,AF8252,57
45,AG24432,3
46,AG42049,3
47,AG29271,4
48,AG5273,4
49,AG47474,3
50,AG46950,3
51,AG4421,3
52,AG46064,5
53,AG37449,7
54,AG31393,3
55,AG40290,2
56,AG43914,3
57,AH2129,3
58,AH6699,4
59,AH10864,3
60,AH12408,3
61,AH18471,2
62,AJ39544,3
63,DX21011,3
64,AJ35691,4
65,AJ34878,3
66,AJ10149,3
67,AJ5030,4
68,AK104315,2
69,AK101486,3
70,AK5610,3
71,AK112657,3
72,AK73589,3
73,AK77868,2
74,AK120198,4
75,AK69595,4
76,AK78434,6
77,AK118666,4
78,AK122965,1
79,AK136673,3
80,AK92352,4
81,AK16877,4
82,AK56474,5
83,AK89469,3
84,AK80215,2
85,AK20908,4
86,AK21177,3
87,AL253492,3
88,AL186551,4
89,AL158457,3
90,AL241885,2
91,AL225527,4
92,AL4282,64
93,AL218978,4
94,AL129571,14
95,AL7394,1
96,AL137549,2
97,BL338212,3
98,CG91407,3
99,AL9669,3
100,AL242005,4
101,AL196265,2
102,AL102787,4
103,AL226917,4
104,AL260012,19
105,AL231720,3
106,AL273493,4
107,AL226219,3
108,AL253707,3
109,AL31393,26
110,AL49491,2
111,CC108122,3
112,AL149483,3
113,AL143878,3
114,AL19361,5
115,AL53058,4
116,AL292664,22
117,AL222756,2
118,AL19776,4
119,AL267518,2
120,AL222807,3
121,AL192408,5
122,AL198673,3
123,AL247562,3
124,AL250820,3
125,AL146839,1
126,AL90210,3
127,AL201655,3
128,AL235728,5
129,EH711937,4
130,AM79330,2
131,AM74679,38
132,AM25019,3
133,AM81173,4
134,AM16559,4
135,AM2414,2
136,CW755170,3
137,AM83390,4
138,AM96926,4
139,AM30509,29
140,AM78608,5
141,AM20206,3
142,AM37728,3
143,AM83930,6
144,AM11878,34
145,AM91600,6
146,AM85020,2
147,AM39518,4
148,AM81589,2
149,AM81876,5
150,AN22869,4
151,AN80051,13
152,AN184883,2
153,AN144792,3
154,AN72237,6
155,AN122986,2
156,AN32610,3
157,AN144435,2
158,AN5722,4
159,AN127195,3
160,AN163486,4
161,AN21078,3
162,AN166182,3
163,AN192980,22
164,AN132886,3
165,AN195770,3
166,AN198038,20
167,AN121625,11
168,AN124301,2
169,AN163264,3
170,AN109444,4
171,AN99584,4
172,AN106055,2
173,AN14003,7
174,EH109111,3
175,AN14524,2
176,AN187401,3
177,AN197757,1
