,id_a,distancia
0,AA133683,1
1,AA148985,6
2,AA156225,2
3,AA173267,4
4,AA156594,8
5,AA183493,4
6,AA134070,4
7,AA118636,5
8,AA26654,6
9,AA155995,5
10,AA28509,3
11,AA149261,10
12,AA157937,8
13,AA129147,6
14,AA36931,8
15,AA122613,4
16,AA112186,8
17,AB36968,5
18,AB3635,4
19,AB32650,3
20,AB23370,7
21,AB6349,52
22,AS66941,2
23,AB29289,4
24,AC15504,5
25,AC13036,3
26,AC5969,3
27,AD28116,3
28,AD19080,3
29,AD14670,5
30,AD24298,5
31,AD27864,4
32,DZ58676,3
33,AD27459,5
34,AE21358,6
35,AE28877,4
36,AE26382,6
37,AE23669,4
38,AF18425,4
39,AF25219,4
40,AF22330,3
41,AF20280,5
42,AF5551,4
43,AF23440,5
44,AF8252,57
45,AG24432,5
46,AG42049,5
47,AG29271,6
48,AG5273,5
49,AG47474,3
50,AG46950,4
51,AG4421,5
52,AG46064,5
53,AG37449,8
54,AG31393,4
55,AG40290,2
56,AG43914,6
57,AH2129,3
58,AH6699,4
59,AH10864,4
60,AH12408,5
61,AH18471,2
62,AJ39544,7
63,DX21011,4
64,AJ35691,4
65,AJ34878,5
66,AJ10149,5
67,AJ5030,4
68,AK104315,2
69,AK101486,3
70,AK5610,3
71,AK112657,5
72,AK73589,5
73,AK77868,4
74,AK120198,6
75,AK69595,5
76,AK78434,7
77,AK118666,6
78,AK122965,2
79,AK136673,3
80,AK92352,6
81,AK16877,5
82,AK56474,9
83,AK89469,4
84,AK80215,5
85,AK20908,5
86,AK21177,5
87,AL253492,6
88,AL186551,6
89,AL158457,6
90,AL241885,4
91,AL225527,8
92,AL4282,64
93,AL218978,6
94,AL129571,26
95,AL7394,1
96,AL137549,6
97,BL338212,4
98,CG91407,7
99,AL9669,19
100,AL242005,5
101,AL196265,4
102,AL102787,4
103,AL226917,6
104,AL260012,19
105,AL231720,4
106,AL273493,5
107,AL226219,5
108,AL253707,6
109,AL31393,26
110,AL49491,3
111,CC108122,12
112,AL149483,6
113,AL143878,5
114,AL19361,15
115,AL53058,7
116,AL292664,22
117,AL222756,2
118,AL19776,5
119,AL267518,8
120,AL222807,5
121,AL192408,7
122,AL198673,5
123,AL247562,5
124,AL250820,6
125,AL146839,1
126,AL90210,6
127,AL201655,7
128,AL235728,6
129,EH711937,5
130,AM79330,2
131,AM74679,38
132,AM25019,5
133,AM81173,8
134,AM16559,8
135,AM2414,5
136,CW755170,6
137,AM83390,8
138,AM96926,10
139,AM30509,29
140,AM78608,9
141,AM20206,7
142,AM37728,4
143,AM83930,6
144,AM11878,42
145,AM91600,8
146,AM85020,2
147,AM39518,5
148,AM81589,8
149,AM81876,6
150,AN22869,6
151,AN80051,13
152,AN184883,3
153,AN144792,8
154,AN72237,7
155,AN122986,5
156,AN32610,4
157,AN144435,5
158,AN5722,5
159,AN127195,3
160,AN163486,8
161,AN21078,7
162,AN166182,5
163,AN192980,22
164,AN132886,3
165,AN195770,3
166,AN198038,20
167,AN121625,60
168,AN124301,7
169,AN163264,6
170,AN109444,4
171,AN99584,9
172,AN106055,6
173,AN14003,8
174,EH109111,3
175,AN14524,2
176,AN187401,6
177,AN197757,1
178,AN102279,20
179,AN57633,8
180,AN56469,3
181,AN186071,5
182,AN121822,5
183,AN126895,5
184,AP54149,6
185,EL50977,4
186,AP39965,3
187,AP73880,4
188,AP23032,5
189,AM73731,6
190,AP27264,1
191,AP69516,6
192,AP28281,8
193,AP4480,6
194,AP75921,4
195,AP29442,6
196,AP39912,4
197,AP30991,4
198,AM64602,6
199,AP81448,3
200,AR14008,4
201,AS63804,8
202,AS58016,2
203,AS79203,7
204,AS86129,4
205,AS36678,10
206,AS24148,4
207,AS86503,4
208,AS78167,4
209,AS85572,3
210,AS47144,5
211,AS76317,4
212,AS85196,5
213,DL115164,6
214,AS65390,6
215,AS77317,7
216,AS13031,3
217,AS44520,5
218,AS14976,7
219,AS75879,4
220,AT8181,7
221,AT8481,7
222,AT27997,6
223,AW190842,2
224,AX68174,3
225,AW132709,6
226,AW6363,5
227,AW196088,4
228,AW167906,6
229,CW509040,4
230,AW138252,3
231,AW108699,4
232,AW110905,3
233,AW203617,4
234,AW168443,2
235,AW134578,4
236,AW90915,5
237,AW166651,4
238,AW131893,6
239,AW172023,7
240,AW127055,5
241,AW206282,4
242,AW157381,4
243,AW161689,3
244,CN61774,5
245,AW131735,3
246,AW23336,8
247,AW168724,7
248,AW84328,5
249,AW144840,5
250,AW102616,3
251,AW174965,5
252,AW6339,4
253,AW185536,9
254,AX2065,6
255,AX47586,4
256,AX4014,6
257,AX32662,2
258,AX7110,3
259,AX42203,4
260,AX54075,2
261,AX36949,4
262,AX9577,7
263,DE174808,8
264,AX36413,6
265,AX56958,8
266,AX35850,1
267,AY16743,3
268,AY25754,3
269,AY34658,5
270,AZ16432,4
271,AY27393,5
272,BA5123,5
273,BA7616,5
274,BA15079,8
275,BB36934,10
276,BB46453,1
277,BB94097,7
278,BB102225,2
279,DN71002,62
280,BB72542,4
281,BB41530,5
282,BB59749,5
283,BB42488,4
284,BB52527,4
285,BB33624,7
286,BB45678,4
287,BB71552,2
288,BC56103,5
289,BC56478,5
290,BC47962,6
291,BC28458,7
292,BC51840,8
293,BC55500,9
294,BC46727,5
295,BC36579,6
296,BC18810,3
297,BD8064,4
298,BD130599,5
299,BD105809,5
300,BD52290,7
301,BD114669,1
302,BD99277,5
303,BD138825,29
304,BD73339,5
305,BD135190,8
306,BD27764,11
307,BD46333,8
308,BD106654,6
309,BD121893,5
310,BD115898,7
311,BD7770,5
312,BD77832,7
313,BD114224,8
314,BD111555,5
315,BD130926,5
316,DD110802,64
317,BD79835,2
318,BD114053,6
319,BE400449,64
320,BE109801,1
321,BE277587,7
322,BE298300,6
323,BE337380,7
324,BE299565,5
325,BE253559,5
326,BE305470,3
327,BE173376,1
328,BE7466,6
329,BE58235,5
330,BE298406,5
331,BE316549,4
332,BE300057,7
333,BE346495,6
334,BE305230,6
335,BE285220,6
336,BE289998,4
337,BE210125,6
338,BE298555,6
339,BE374535,4
340,BE207356,5
341,BE233682,6
342,BE60962,5
343,BE239936,22
344,BE390939,8
345,BE318047,7
346,BE393259,7
347,BE327138,7
348,BE370476,5
349,BE251126,6
350,BE154108,11
351,BE190376,5
352,BE108939,48
353,BE274364,5
354,BE304350,3
355,BE174851,1
356,BE290718,5
357,BE242288,5
358,BE141354,3
359,BE55827,5
360,EH816715,6
361,BE78653,9
362,BE281379,9
363,BE310498,6
364,BE14869,5
365,BE317551,4
366,BE275311,8
367,BE386251,4
368,BE286078,9
369,BE160543,9
370,BE188733,8
371,BE302016,9
372,BE49185,3
373,BE105527,6
374,BE172950,3
375,BE255485,14
376,BE195283,5
377,BE49652,8
378,BE131036,7
379,BE308480,3
380,BE308688,5
381,BE349567,4
382,BE233350,6
383,BF33177,6
384,BF27159,2
385,BF28207,4
386,BF20965,5
387,BG18839,2
388,BG8403,5
389,BG2829,5
390,BG31453,7
391,BG47021,6
392,BG47029,4
393,DZ12338,3
394,BH80872,26
395,BN363007,5
396,BH13586,6
397,BH101915,8
398,BH149024,5
399,BH52304,3
400,BH163457,3
401,BH18129,6
402,BH18457,5
403,BH95277,5
404,BH102713,22
405,BH164806,5
406,BH79219,5
407,BH127133,5
408,BH140486,5
409,BH125098,6
410,BH6804,5
411,BH97700,3
412,BH152057,5
413,BH138141,5
414,BH63938,7
415,BJ42479,26
416,BJ5507,3
417,BJ36536,6
418,BJ24312,8
419,BK19207,5
420,BK43122,3
421,BK49547,6
422,BL132720,9
423,BL341037,1
424,BL347340,4
425,BL202249,6
426,BL258824,5
427,BL188825,8
428,BL191742,6
429,BL226149,34
430,BL74341,8
431,BL442077,8
432,BL455194,5
433,BY540657,10
434,BL263314,4
435,BL410348,6
436,BL285842,5
437,BL272835,7
438,BL375922,8
