,id_a,distancia,split_number,bf
211,AS76317,1,4,xbf
212,AS85196,1,4,xbf
213,DL115164,1,4,xbf
214,AS65390,1,4,xbf
215,AS77317,1,4,xbf
216,AS13031,1,4,xbf
217,AS44520,1,4,xbf
218,AS14976,1,4,xbf
219,AS75879,1,4,xbf
220,AT8181,1,4,xbf
221,AT8481,1,4,xbf
222,AT27997,1,4,xbf
223,AW190842,1,4,xbf
224,AX68174,1,4,xbf
225,AW132709,1,4,xbf
226,AW6363,1,4,xbf
227,AW196088,1,4,xbf
228,AW167906,1,4,xbf
229,CW509040,1,4,xbf
230,AW138252,1,4,xbf
231,AW108699,1,4,xbf
232,AW110905,1,4,xbf
233,AW203617,1,4,xbf
234,AW168443,1,4,xbf
235,AW134578,1,4,xbf
236,AW90915,1,4,xbf
237,AW166651,1,4,xbf
238,AW131893,1,4,xbf
239,AW172023,1,4,xbf
240,AW127055,1,4,xbf
241,AW206282,1,4,xbf
242,AW157381,1,4,xbf
243,AW161689,1,4,xbf
244,CN61774,1,4,xbf
245,AW131735,1,4,xbf
246,AW23336,1,4,xbf
247,AW168724,1,4,xbf
248,AW84328,1,4,xbf
249,AW144840,1,4,xbf
250,AW102616,1,4,xbf
251,AW174965,1,4,xbf
252,AW6339,1,4,xbf
253,AW185536,1,4,xbf
254,AX2065,1,4,xbf
255,AX47586,1,4,xbf
256,AX4014,1,4,xbf
257,AX32662,1,4,xbf
258,AX7110,1,4,xbf
259,AX42203,1,4,xbf
260,AX54075,1,4,xbf
261,AX36949,1,4,xbf
262,AX9577,1,4,xbf
263,DE174808,1,4,xbf
264,AX36413,1,4,xbf
265,AX56958,1,4,xbf
266,AX35850,1,4,xbf
267,AY16743,1,4,xbf
268,AY25754,1,4,xbf
269,AY34658,1,4,xbf
270,AZ16432,1,4,xbf
271,AY27393,1,4,xbf
272,BA5123,1,4,xbf
273,BA7616,1,4,xbf
274,BA15079,1,4,xbf
275,BB36934,1,4,xbf
276,BB46453,1,4,xbf
277,BB94097,1,4,xbf
278,BB102225,1,4,xbf
279,DN71002,4,4,xbf
280,BB72542,1,4,xbf
281,BB41530,1,4,xbf
282,BB59749,1,4,xbf
283,BB42488,1,4,xbf
284,BB52527,1,4,xbf
285,BB33624,1,4,xbf
286,BB45678,1,4,xbf
287,BB71552,1,4,xbf
288,BC56103,1,4,xbf
289,BC56478,1,4,xbf
290,BC47962,1,4,xbf
291,BC28458,1,4,xbf
292,BC51840,1,4,xbf
293,BC55500,1,4,xbf
294,BC46727,1,4,xbf
295,BC36579,1,4,xbf
296,BC18810,1,4,xbf
297,BD8064,1,4,xbf
298,BD130599,1,4,xbf
299,BD105809,1,4,xbf
300,BD52290,1,4,xbf
301,BD114669,1,4,xbf
302,BD99277,1,4,xbf
303,BD138825,4,4,xbf
304,BD73339,1,4,xbf
305,BD135190,1,4,xbf
306,BD27764,1,4,xbf
307,BD46333,1,4,xbf
308,BD106654,1,4,xbf
309,BD121893,1,4,xbf
310,BD115898,1,4,xbf
311,BD7770,1,4,xbf
312,BD77832,1,4,xbf
313,BD114224,1,4,xbf
314,BD111555,1,4,xbf
315,BD130926,1,4,xbf
316,DD110802,4,4,xbf
317,BD79835,1,4,xbf
318,BD114053,1,4,xbf
319,BE400449,4,4,xbf
320,BE109801,1,4,xbf
321,BE277587,1,4,xbf
322,BE298300,1,4,xbf
323,BE337380,1,4,xbf
324,BE299565,1,4,xbf
325,BE253559,1,4,xbf
326,BE305470,1,4,xbf
327,BE173376,1,4,xbf
328,BE7466,1,4,xbf
329,BE58235,1,4,xbf
330,BE298406,1,4,xbf
331,BE316549,1,4,xbf
332,BE300057,1,4,xbf
333,BE346495,1,4,xbf
334,BE305230,1,4,xbf
335,BE285220,1,4,xbf
336,BE289998,1,4,xbf
337,BE210125,1,4,xbf
338,BE298555,1,4,xbf
339,BE374535,1,4,xbf
340,BE207356,1,4,xbf
341,BE233682,1,4,xbf
342,BE60962,1,4,xbf
343,BE239936,1,4,xbf
344,BE390939,1,4,xbf
345,BE318047,1,4,xbf
346,BE393259,1,4,xbf
347,BE327138,1,4,xbf
348,BE370476,1,4,xbf
349,BE251126,1,4,xbf
350,BE154108,1,4,xbf
351,BE190376,1,4,xbf
352,BE108939,4,4,xbf
353,BE274364,1,4,xbf
354,BE304350,1,4,xbf
355,BE174851,1,4,xbf
356,BE290718,1,4,xbf
357,BE242288,1,4,xbf
358,BE141354,1,4,xbf
359,BE55827,1,4,xbf
360,EH816715,1,4,xbf
361,BE78653,1,4,xbf
362,BE281379,1,4,xbf
363,BE310498,1,4,xbf
364,BE14869,1,4,xbf
365,BE317551,1,4,xbf
366,BE275311,1,4,xbf
367,BE386251,1,4,xbf
368,BE286078,1,4,xbf
369,BE160543,1,4,xbf
370,BE188733,1,4,xbf
371,BE302016,1,4,xbf
372,BE49185,1,4,xbf
373,BE105527,1,4,xbf
374,BE172950,1,4,xbf
375,BE255485,1,4,xbf
376,BE195283,1,4,xbf
377,BE49652,1,4,xbf
378,BE131036,1,4,xbf
379,BE308480,1,4,xbf
380,BE308688,1,4,xbf
381,BE349567,1,4,xbf
382,BE233350,1,4,xbf
383,BF33177,1,4,xbf
384,BF27159,1,4,xbf
385,BF28207,1,4,xbf
386,BF20965,1,4,xbf
387,BG18839,1,4,xbf
388,BG8403,1,4,xbf
389,BG2829,1,4,xbf
390,BG31453,1,4,xbf
391,BG47021,1,4,xbf
392,BG47029,1,4,xbf
393,DZ12338,1,4,xbf
394,BH80872,4,4,xbf
395,BN363007,1,4,xbf
396,BH13586,1,4,xbf
397,BH101915,1,4,xbf
398,BH149024,1,4,xbf
399,BH52304,1,4,xbf
400,BH163457,1,4,xbf
401,BH18129,1,4,xbf
402,BH18457,1,4,xbf
403,BH95277,1,4,xbf
404,BH102713,4,4,xbf
405,BH164806,1,4,xbf
406,BH79219,1,4,xbf
407,BH127133,1,4,xbf
408,BH140486,1,4,xbf
409,BH125098,1,4,xbf
410,BH6804,1,4,xbf
411,BH97700,1,4,xbf
412,BH152057,1,4,xbf
413,BH138141,1,4,xbf
414,BH63938,1,4,xbf
415,BJ42479,4,4,xbf
416,BJ5507,1,4,xbf
417,BJ36536,1,4,xbf
418,BJ24312,1,4,xbf
419,BK19207,1,4,xbf
420,BK43122,1,4,xbf
421,BK49547,1,4,xbf
422,BL132720,1,4,xbf
423,BL341037,1,4,xbf
424,BL347340,1,4,xbf
425,BL202249,1,4,xbf
426,BL258824,1,4,xbf
427,BL188825,1,4,xbf
428,BL191742,1,4,xbf
429,BL226149,4,4,xbf
430,BL74341,1,4,xbf
431,BL442077,3,4,xbf
432,BL455194,1,4,xbf
433,BY540657,1,4,xbf
434,BL263314,1,4,xbf
435,BL410348,1,4,xbf
436,BL285842,1,4,xbf
437,BL272835,1,4,xbf
438,BL375922,1,4,xbf
439,BL160995,1,4,xbf
440,BL394897,1,4,xbf
441,BL287354,1,4,xbf
442,BL330909,1,4,xbf
443,BL392966,1,4,xbf
444,BL353852,1,4,xbf
445,BL442823,1,4,xbf
446,BL463247,1,4,xbf
447,BL362701,1,4,xbf
448,BL385077,1,4,xbf
449,BL38460,4,4,xbf
450,BL370832,1,4,xbf
451,BL343618,1,4,xbf
452,BL129855,1,4,xbf
453,BL371881,2,4,xbf
454,BL301201,1,4,xbf
455,BL335246,1,4,xbf
456,BL230746,1,4,xbf
457,BL239897,1,4,xbf
458,BL43923,1,4,xbf
459,BL262935,1,4,xbf
460,BN324213,1,4,xbf
461,BL350444,1,4,xbf
462,BL281581,1,4,xbf
463,BL273851,1,4,xbf
464,BL459240,1,4,xbf
465,BL362097,1,4,xbf
466,BL465094,1,4,xbf
467,BL317367,1,4,xbf
468,BL213722,1,4,xbf
469,BL401222,1,4,xbf
470,BL419426,1,4,xbf
471,BL362350,1,4,xbf
472,BL344234,1,4,xbf
473,BL401502,1,4,xbf
474,BL364347,1,4,xbf
475,EH563588,1,4,xbf
476,BL325967,1,4,xbf
477,BL57028,1,4,xbf
478,BL382807,1,4,xbf
479,BL446120,1,4,xbf
480,BL372677,1,4,xbf
481,BL279830,1,4,xbf
482,BL441462,1,4,xbf
483,BL402693,1,4,xbf
484,BL308254,1,4,xbf
485,BL364328,1,4,xbf
486,BL51056,1,4,xbf
487,BL396640,1,4,xbf
488,BL406304,1,4,xbf
489,BM63171,1,4,xbf
490,BM58363,1,4,xbf
491,BM53531,1,4,xbf
492,BM65572,1,4,xbf
493,BM33103,1,4,xbf
494,BM71895,1,4,xbf
495,BM28827,1,4,xbf
496,BM13829,1,4,xbf
497,BM46717,1,4,xbf
