,id_a,distancia,split_number,bf
0,AA36931,8,8,bbf
1,AB6349,8,8,bbf
2,AF8252,8,8,bbf
3,AJ10149,1,8,bbf
4,AK101486,1,8,bbf
5,AK77868,1,8,bbf
6,AK118666,1,8,bbf
7,AL4282,8,8,bbf
8,AL129571,8,8,bbf
9,AL137549,8,8,bbf
10,AL260012,8,8,bbf
11,AL31393,8,8,bbf
12,AL292664,8,8,bbf
13,AL90210,1,8,bbf
14,EH711937,1,8,bbf
15,AM74679,8,8,bbf
16,AM96926,1,8,bbf
17,AM30509,8,8,bbf
18,AM11878,8,8,bbf
19,AN184883,1,8,bbf
20,AN192980,8,8,bbf
21,AN195770,8,8,bbf
22,AN198038,8,8,bbf
23,AN121625,8,8,bbf
24,AN99584,1,8,bbf
25,AN102279,8,8,bbf
26,AW174965,1,8,bbf
27,AW6339,1,8,bbf
28,AY27393,1,8,bbf
29,DN71002,8,8,bbf
30,BD52290,1,8,bbf
31,BD138825,8,8,bbf
32,DD110802,8,8,bbf
33,BE400449,8,8,bbf
34,BE108939,8,8,bbf
35,BE274364,1,8,bbf
36,BE55827,1,8,bbf
37,BE78653,1,8,bbf
38,BE105527,1,8,bbf
39,BG8403,1,8,bbf
40,BH80872,8,8,bbf
41,BH102713,8,8,bbf
42,BJ42479,8,8,bbf
43,BK49547,1,8,bbf
44,BL226149,8,8,bbf
45,BL442077,8,8,bbf
46,BL38460,8,8,bbf
47,BN472445,8,8,bbf
48,BN390213,8,8,bbf
49,AF25802,8,8,bbf
50,BN431739,8,8,bbf
51,BN38691,8,8,bbf
52,BR115155,8,8,bbf
53,BR172547,8,8,bbf
54,BR168193,1,8,bbf
55,BW3555,1,8,bbf
56,BY528290,8,8,bbf
57,BY616914,8,8,bbf
58,BY518111,8,8,bbf
59,BY265322,1,8,bbf
60,AL210909,8,8,bbf
61,AK55337,8,8,bbf
62,BZ29111,1,8,bbf
63,CB5222,1,8,bbf
64,AK77330,1,8,bbf
65,CD15975,1,8,bbf
66,CD24236,8,8,bbf
67,CE37711,1,8,bbf
68,CE48228,8,8,bbf
69,CE13756,1,8,bbf
70,CG132476,8,8,bbf
71,CG116958,8,8,bbf
72,CG169627,8,8,bbf
73,CG134332,8,8,bbf
74,AW142867,1,8,bbf
75,CG169445,1,8,bbf
76,CG147105,1,8,bbf
77,CH31171,1,8,bbf
78,CJ55814,8,8,bbf
79,CJ22540,8,8,bbf
80,EH639228,8,8,bbf
81,CJ117700,8,8,bbf
82,CL45923,8,8,bbf
83,CN47457,8,8,bbf
84,CR6299,8,8,bbf
85,CS19040,8,8,bbf
86,CS31441,8,8,bbf
87,CW1114054,8,8,bbf
88,CW977883,8,8,bbf
89,CW53446,8,8,bbf
90,CW1141031,8,8,bbf
91,CW1105990,8,8,bbf
92,CW505158,1,8,bbf
93,CW13846,1,8,bbf
94,CW870230,1,8,bbf
95,CW986157,1,8,bbf
96,CW1034272,1,8,bbf
97,CW1066388,8,8,bbf
98,CG43610,1,8,bbf
99,CW1076758,8,8,bbf
100,CW1084105,8,8,bbf
101,CW847690,8,8,bbf
102,CW407449,1,8,bbf
103,CW888597,8,8,bbf
104,CZ15419,8,8,bbf
105,CZ88396,8,8,bbf
106,CZ43730,8,8,bbf
107,CZ101129,8,8,bbf
108,DA105751,8,8,bbf
109,DA115432,8,8,bbf
110,DA111415,8,8,bbf
111,DA11296,1,8,bbf
112,EP82216,8,8,bbf
113,DB137581,8,8,bbf
114,DB226493,8,8,bbf
115,DB226201,8,8,bbf
116,DD83289,1,8,bbf
117,DE17257,8,8,bbf
118,DE294320,8,8,bbf
119,AK9098,8,8,bbf
120,DB187502,8,8,bbf
121,DK37986,8,8,bbf
122,DK34709,8,8,bbf
123,DK18914,8,8,bbf
124,DK35398,8,8,bbf
125,DL188456,8,8,bbf
126,DL254358,8,8,bbf
127,CW776061,8,8,bbf
128,DL240464,1,8,bbf
129,DL234008,8,8,bbf
130,CL47115,8,8,bbf
131,DN21831,1,8,bbf
132,DP30715,1,8,bbf
133,DR112159,8,8,bbf
134,DS26788,1,8,bbf
135,DT135273,8,8,bbf
136,DW33438,1,8,bbf
137,DX20968,8,8,bbf
138,DX21318,8,8,bbf
139,DZ25730,1,8,bbf
140,DZ51595,8,8,bbf
141,EA34052,1,8,bbf
142,EB66859,8,8,bbf
143,EB47053,8,8,bbf
144,ED29425,8,8,bbf
145,ED12970,8,8,bbf
146,EF161021,8,8,bbf
147,EF67961,8,8,bbf
148,EF110604,1,8,bbf
149,EG15569,1,8,bbf
150,EH8095,8,8,bbf
151,EH868685,8,8,bbf
152,EH550387,8,8,bbf
153,EH705163,8,8,bbf
154,EH383993,8,8,bbf
155,EH572779,8,8,bbf
156,EH545176,8,8,bbf
157,EH931844,8,8,bbf
158,DH36371,8,8,bbf
159,CA47394,1,8,bbf
160,EH275385,1,8,bbf
161,EH865368,1,8,bbf
162,EH480190,8,8,bbf
163,EH424113,4,8,bbf
164,EH632884,1,8,bbf
165,EH489264,8,8,bbf
166,EP35093,8,8,bbf
167,EP12857,8,8,bbf
168,ER27156,1,8,bbf
169,ES23461,8,8,bbf
