,id_a,distancia,split_number,bf
0,AA36931,8,8,xbf
1,AB6349,8,8,xbf
2,AF8252,8,8,xbf
3,AJ10149,1,8,xbf
4,AK101486,1,8,xbf
5,AK77868,1,8,xbf
6,AK118666,1,8,xbf
7,AL4282,8,8,xbf
8,AL129571,8,8,xbf
9,AL137549,8,8,xbf
10,AL260012,8,8,xbf
11,AL31393,8,8,xbf
12,AL292664,8,8,xbf
13,AL90210,1,8,xbf
14,EH711937,1,8,xbf
15,AM74679,8,8,xbf
16,AM96926,1,8,xbf
17,AM30509,8,8,xbf
18,AM11878,8,8,xbf
19,AN184883,1,8,xbf
20,AN192980,8,8,xbf
21,AN195770,8,8,xbf
22,AN198038,8,8,xbf
23,AN121625,8,8,xbf
24,AN99584,1,8,xbf
25,AN102279,8,8,xbf
26,AW174965,1,8,xbf
27,AW6339,1,8,xbf
28,AY27393,1,8,xbf
29,DN71002,8,8,xbf
30,BD52290,1,8,xbf
31,BD138825,8,8,xbf
32,DD110802,8,8,xbf
33,BE400449,8,8,xbf
34,BE108939,8,8,xbf
35,BE274364,1,8,xbf
36,BE55827,1,8,xbf
37,BE78653,1,8,xbf
38,BE105527,1,8,xbf
39,BG8403,1,8,xbf
40,BH80872,8,8,xbf
41,BH102713,8,8,xbf
42,BJ42479,8,8,xbf
43,BK49547,1,8,xbf
44,BL226149,8,8,xbf
45,BL442077,8,8,xbf
46,BL38460,8,8,xbf
47,BN472445,8,8,xbf
48,BN390213,8,8,xbf
49,AF25802,8,8,xbf
50,BN431739,8,8,xbf
51,BN38691,8,8,xbf
52,BR115155,8,8,xbf
53,BR172547,8,8,xbf
54,BR168193,1,8,xbf
55,BW3555,1,8,xbf
56,BY528290,8,8,xbf
57,BY616914,8,8,xbf
58,BY518111,8,8,xbf
59,BY265322,1,8,xbf
60,AL210909,8,8,xbf
61,AK55337,2,8,xbf
62,BZ29111,1,8,xbf
63,CB5222,1,8,xbf
64,AK77330,1,8,xbf
65,CD15975,1,8,xbf
66,CD24236,8,8,xbf
67,CE37711,1,8,xbf
68,CE48228,8,8,xbf
69,CE13756,1,8,xbf
70,CG132476,8,8,xbf
71,CG116958,8,8,xbf
72,CG169627,8,8,xbf
73,CG134332,8,8,xbf
74,AW142867,1,8,xbf
75,CG169445,1,8,xbf
76,CG147105,1,8,xbf
77,CH31171,1,8,xbf
78,CJ55814,8,8,xbf
79,CJ22540,8,8,xbf
80,EH639228,8,8,xbf
81,CJ117700,8,8,xbf
82,CL45923,8,8,xbf
83,CN47457,8,8,xbf
84,CR6299,8,8,xbf
85,CS19040,8,8,xbf
86,CS31441,1,8,xbf
87,CW1114054,8,8,xbf
88,CW977883,8,8,xbf
89,CW53446,8,8,xbf
90,CW1141031,8,8,xbf
91,CW1105990,8,8,xbf
92,CW505158,1,8,xbf
93,CW13846,1,8,xbf
94,CW870230,1,8,xbf
95,CW986157,1,8,xbf
96,CW1034272,1,8,xbf
97,CW1066388,8,8,xbf
98,CG43610,1,8,xbf
99,CW1076758,8,8,xbf
100,CW1084105,8,8,xbf
101,CW847690,8,8,xbf
102,CW407449,1,8,xbf
103,CW888597,8,8,xbf
104,CZ15419,8,8,xbf
105,CZ88396,6,8,xbf
106,CZ43730,8,8,xbf
107,CZ101129,8,8,xbf
108,DA105751,8,8,xbf
109,DA115432,8,8,xbf
110,DA111415,8,8,xbf
111,DA11296,1,8,xbf
112,EP82216,8,8,xbf
113,DB137581,8,8,xbf
114,DB226493,8,8,xbf
115,DB226201,8,8,xbf
116,DD83289,1,8,xbf
117,DE17257,8,8,xbf
118,DE294320,8,8,xbf
119,AK9098,8,8,xbf
120,DB187502,8,8,xbf
121,DK37986,8,8,xbf
122,DK34709,8,8,xbf
123,DK18914,8,8,xbf
124,DK35398,8,8,xbf
125,DL188456,8,8,xbf
126,DL254358,8,8,xbf
127,CW776061,8,8,xbf
128,DL240464,1,8,xbf
129,DL234008,8,8,xbf
130,CL47115,8,8,xbf
131,DN21831,1,8,xbf
132,DP30715,1,8,xbf
133,DR112159,8,8,xbf
134,DS26788,1,8,xbf
135,DT135273,8,8,xbf
136,DW33438,1,8,xbf
137,DX20968,8,8,xbf
138,DX21318,8,8,xbf
139,DZ25730,1,8,xbf
140,DZ51595,8,8,xbf
141,EA34052,1,8,xbf
142,EB66859,8,8,xbf
143,EB47053,8,8,xbf
144,ED29425,8,8,xbf
145,ED12970,8,8,xbf
146,EF161021,8,8,xbf
147,EF67961,6,8,xbf
148,EF110604,1,8,xbf
149,EG15569,1,8,xbf
150,EH8095,8,8,xbf
151,EH868685,8,8,xbf
152,EH550387,8,8,xbf
153,EH705163,8,8,xbf
154,EH383993,8,8,xbf
155,EH572779,8,8,xbf
156,EH545176,8,8,xbf
157,EH931844,8,8,xbf
158,DH36371,8,8,xbf
159,CA47394,1,8,xbf
160,EH275385,1,8,xbf
161,EH865368,1,8,xbf
162,EH480190,8,8,xbf
163,EH424113,8,8,xbf
164,EH632884,1,8,xbf
165,EH489264,8,8,xbf
166,EP35093,8,8,xbf
167,EP12857,8,8,xbf
168,ER27156,1,8,xbf
169,ES23461,8,8,xbf
