,id_a,distancia
353,BE274364,26
354,BE304350,22
355,BE174851,1
356,BE290718,34
357,BE242288,19
358,BE141354,14
359,BE55827,10
360,EH816715,14
361,BE78653,22
362,BE281379,14
363,BE310498,11
364,BE14869,8
365,BE317551,19
366,BE275311,19
367,BE386251,15
368,BE286078,18
369,BE160543,25
370,BE188733,8
371,BE302016,14
372,BE49185,13
373,BE105527,13
374,BE172950,3
375,BE255485,17
376,BE195283,15
377,BE49652,22
378,BE131036,19
379,BE308480,11
380,BE308688,9
381,BE349567,11
382,BE233350,30
383,BF33177,9
384,BF27159,2
385,BF28207,9
386,BF20965,9
387,BG18839,7
388,BG8403,7
389,BG2829,13
390,BG31453,14
391,BG47021,14
392,BG47029,14
393,DZ12338,12
394,BH80872,26
395,BN363007,11
396,BH13586,8
397,BH101915,10
398,BH149024,8
399,BH52304,10
400,BH163457,3
401,BH18129,22
402,BH18457,10
403,BH95277,5
404,BH102713,22
405,BH164806,13
406,BH79219,8
407,BH127133,11
408,BH140486,13
409,BH125098,13
410,BH6804,10
411,BH97700,13
412,BH152057,19
413,BH138141,19
414,BH63938,27
415,BJ42479,26
416,BJ5507,19
417,BJ36536,15
418,BJ24312,19
419,BK19207,18
420,BK43122,4
421,BK49547,11
422,BL132720,11
423,BL341037,1
424,BL347340,8
425,BL202249,9
426,BL258824,11
427,BL188825,9
428,BL191742,12
429,BL226149,34
430,BL74341,15
431,BL442077,8
432,BL455194,6
433,BY540657,14
434,BL263314,5
435,BL410348,8
436,BL285842,8
437,BL272835,12
438,BL375922,14
439,BL160995,13
440,BL394897,13
441,BL287354,10
442,BL330909,13
443,BL392966,20
444,BL353852,11
445,BL442823,11
446,BL463247,11
447,BL362701,16
448,BL385077,1
449,BL38460,64
450,BL370832,24
451,BL343618,1
452,BL129855,11
453,BL371881,64
454,BL301201,11
455,BL335246,64
456,BL230746,11
457,BL239897,11
458,BL43923,10
459,BL262935,19
460,BN324213,19
461,BL350444,18
462,BL281581,5
463,BL273851,16
464,BL459240,10
465,BL362097,12
466,BL465094,13
467,BL317367,64
468,BL213722,11
469,BL401222,3
470,BL419426,8
471,BL362350,13
472,BL344234,11
473,BL401502,11
474,BL364347,8
475,EH563588,18
476,BL325967,9
477,BL57028,8
478,BL382807,11
479,BL446120,8
480,BL372677,11
481,BL279830,1
482,BL441462,14
483,BL402693,13
484,BL308254,21
485,BL364328,11
486,BL51056,9
487,BL396640,13
488,BL406304,8
489,BM63171,13
490,BM58363,1
491,BM53531,9
492,BM65572,22
493,BM33103,19
494,BM71895,9
495,BM28827,8
496,BM13829,9
497,BM46717,9
498,BN168880,21
499,BN426199,8
500,BN410981,1
501,BN299194,15
502,BN5491,22
503,BN372936,13
504,AK93050,15
505,BN472445,64
506,BN438845,14
507,BN402565,14
508,BN364853,14
509,BN464898,14
510,BN367718,14
511,BN397096,9
512,BN390213,37
513,BN290579,20
514,BN18742,34
515,BN123352,11
516,AF25802,64
517,BN141373,15
518,DS55628,22
519,BN324246,22
520,BN332084,15
521,BN442051,14
522,BN213508,6
523,BN428974,21
524,BN326939,30
525,BN379944,8
526,BN400394,15
527,BN33644,15
528,BN481577,20
529,BN149569,14
530,BN431739,64
531,BN310841,19
532,BN450962,14
533,BN38057,13
534,BN257937,18
535,BN38691,52
536,BN349566,13
537,BN84693,13
538,BN368018,13
539,BN383643,15
540,BN249162,10
541,BN386286,15
542,BN368203,11
543,BN215914,8
544,BN323362,8
545,BN109701,11
546,BN465709,30
547,BN215960,13
548,CW586897,15
549,BN379317,15
550,BN295849,15
551,BN396895,13
552,BN58515,14
553,BN288662,8
554,BN192017,14
555,BN458577,22
556,DN118275,14
557,BN401685,22
558,BN68262,14
559,BY206751,8
560,BN341865,18
561,BP5669,13
562,BP47509,52
563,BP11064,13
564,BP39601,8
565,BP33096,9
566,BP43742,20
567,BP48812,15
568,BR141128,11
569,BR188845,8
570,BR115155,14
571,BR129032,13
572,BR3623,14
573,BR158132,13
574,BR158454,8
575,BR144607,8
576,BR7003,8
577,BR203441,19
578,BR103751,11
579,BR140012,10
580,BR118474,8
581,BR172547,33
582,BR131163,9
583,BR64988,10
584,BR14451,11
585,BR101083,11
586,BR120847,8
587,BR18908,11
588,BR159041,8
589,BR165240,8
590,BR24218,13
591,BR168193,16
592,BR171832,22
593,BR153450,13
594,BR25792,15
595,BR161541,9
596,BR25976,8
597,BR168681,5
598,BR175076,27
599,BR89282,14
600,BR112392,14
601,CN68917,26
602,BR32165,8
603,BR150023,8
604,BR76224,8
605,BR173277,15
606,BR91043,19
607,BR167914,11
608,BS12552,5
609,BS2345,11
610,BS11236,8
611,BS7082,8
612,BS8814,1
613,BS12506,13
614,BT9971,14
615,BW3555,8
616,BW5192,9
617,EG2312,11
618,BW3133,2
619,BW48641,2
620,BW54888,8
621,BW43838,10
622,BW49573,11
623,BW37721,8
624,BX16273,14
625,BY268065,13
626,BY647378,7
627,BY7324,21
628,BY520669,8
629,BY536106,11
630,BY346731,14
631,BY278135,26
632,BY321790,8
633,BY506315,14
634,BY368647,14
635,BY399753,64
636,BY475252,13
637,BY624800,14
638,BY501364,8
639,BY526441,8
640,BY487357,8
641,BY510500,20
642,BY484820,13
643,BY65571,11
644,BY370815,14
645,BY386344,21
646,BY327538,11
647,BY488030,64
648,BY43879,11
649,BY375403,14
650,BY339901,11
651,BY576381,14
652,CY20570,20
653,BY484880,11
654,BY515642,14
655,BY66748,9
656,BY508849,10
657,BY73867,11
658,BY526651,15
659,BY271009,14
660,BY80397,11
661,BY633422,13
662,BY406542,29
663,BY480902,2
664,BY553301,20
665,BY304146,14
666,BY563186,11
667,BY398436,7
668,BY523954,11
669,BY486193,14
670,BY527797,16
671,BY114669,14
672,BY513850,20
673,BY386031,11
674,BY588969,11
675,BY353078,8
676,BY535840,15
677,BY293095,11
678,BY386663,11
679,BY307179,14
680,BY528290,64
681,BY616914,64
682,BY364341,14
683,BY152778,19
684,BY327303,26
685,BY652888,18
686,BY487510,2
687,BY544639,11
688,BY364038,14
689,BY569365,15
690,BY372754,15
691,BY464842,16
692,BY413636,15
693,BY171512,11
694,BY577468,14
695,BY567230,13
696,BY173589,14
697,BY569566,14
698,BY522881,19
699,BY368451,19
700,BY415906,8
701,BY494204,8
702,BY572186,11
703,BY532873,15
704,BY380533,22
705,CW433160,11
706,BY452917,11
707,BY518111,38
708,BY606112,8
709,BY332577,15
710,BY265322,19
711,BY409648,8
712,BY205971,8
713,BY413114,20
714,BY188080,14
715,BY632048,8
716,AL210909,28
717,AK55337,64
718,BY564642,10
719,BZ3707,14
720,BZ9556,9
721,BZ53525,18
722,BE202234,15
723,BZ28357,11
724,BZ54137,21
725,EH141218,14
726,BZ29111,13
727,BZ44586,15
728,CA86536,21
729,CA46097,14
730,EH684318,15
731,CA74781,1
732,CA7368,5
733,CA87646,1
734,CA103753,15
735,CA96399,1
736,CA82068,14
737,CA95249,7
738,CA21356,11
739,BE251234,13
740,CA14581,6
741,CA108267,1
742,CA77283,11
743,CA29871,8
744,CA77101,12
745,CA83284,25
746,CA87551,11
747,CA81330,13
748,CA90297,14
749,CB25236,18
750,CB5222,8
751,CB19786,14
752,AK77330,11
753,CB51909,11
754,CB52215,9
755,CB55768,8
756,CB13112,18
757,CB17226,9
758,DS69644,9
759,CB77083,13
760,CB35060,12
761,CB72262,18
762,CC119700,14
763,CC83137,6
764,CC25924,22
765,CC119632,8
766,CC96724,21
767,CC11372,13
768,CC123092,26
769,AL105477,18
770,CC92601,7
771,CC72644,14
772,CC63226,3
773,CC114944,11
774,AL131190,10
775,CC55095,18
776,CC85623,6
777,CC114508,32
778,AL141141,8
779,CC41392,34
780,CC121049,26
781,CC128562,34
782,CD19782,14
783,CD15975,8
784,CD20305,17
785,CD18385,2
786,CD24236,18
787,CE37711,12
788,CE37933,8
789,CE36835,10
790,CE48228,44
791,CE13756,8
792,CE18527,9
793,CE13083,6
794,CE27968,11
795,CE24997,4
796,CE17255,3
797,CE37605,4
798,CF2823,13
799,CG132476,29
800,CG132638,20
801,CG136380,13
802,CG134321,16
803,CG8215,13
804,CG9787,19
805,CG9823,13
806,CG130476,13
807,CG116958,38
808,CG169627,38
809,CG134332,19
810,CG19459,15
811,CG100262,15
812,AW142867,8
813,CG21670,19
814,CG22570,27
815,CG25529,19
816,AW180837,15
817,CG36661,15
818,DZ24616,28
819,CG76853,19
820,CG141280,6
821,CG94334,15
822,CG130273,27
823,CG104411,15
824,CG106664,15
825,CG107354,14
826,CG123184,25
827,CG169445,7
828,CG147105,19
829,AY25791,11
830,AL168688,8
831,CH45737,10
832,CH38225,20
833,CH31171,14
834,CH15870,6
835,CH46026,11
836,CH35913,10
837,CH4692,12
838,CJ150794,8
839,CJ118406,11
840,CJ132105,10
841,CJ26576,10
842,CJ59364,7
843,CJ18447,12
844,CJ53569,6
845,CJ40739,5
846,CJ55814,64
847,CJ22540,34
848,CJ18970,8
849,EH639228,15
850,CJ63398,11
851,CJ49152,8
852,CJ136359,14
853,CJ20671,2
854,CJ117700,8
855,CJ61990,9
856,CJ11512,22
857,CJ137183,1
858,CK13433,14
859,CK11821,13
860,CK13490,10
861,CL2047,10
862,CL32879,2
863,CL50586,11
864,CL45923,20
865,CL9729,1
866,CL44115,1
867,CL47307,14
868,CL6826,8
869,CL57607,1
870,CL52037,9
871,CM34540,8
872,CM58878,11
873,CM6544,9
874,CM15695,13
875,CM49458,13
876,CM68886,3
877,CM51187,10
878,CN67544,11
879,CN35099,14
880,CN6137,14
881,CN47457,34
882,CN69287,8
883,CN24988,11
884,CN49350,11
885,CN17113,10
886,CN54521,11
887,CN48946,11
888,CN65975,14
889,CN70564,11
890,CN40912,38
891,CN25231,14
892,CN82734,12
893,CN74608,22
894,CP39052,1
895,CP33011,6
896,CP31687,5
897,CP35664,18
898,CP20993,11
899,CP36922,8
900,CP22055,11
901,CP14845,11
902,CP26093,8
903,CP22665,8
904,CP27002,8
905,CR16687,19
906,CR6299,64
907,CR6384,13
908,CR15516,40
909,CR11084,4
910,CR28240,8
911,CS31921,19
912,CS19366,4
913,CS18371,5
914,CS21750,9
915,CS30437,15
916,CS19040,64
917,CS31441,64
918,CT46492,15
919,CT45609,28
920,CT17332,9
921,CT35547,1
922,CT48102,10
923,CT37494,10
924,CT39086,20
925,CT38528,9
926,CT31276,15
927,CW892014,1
928,CW49830,14
929,CW915505,16
930,CW842902,21
931,CW791879,19
932,CW162098,13
933,CW3686,5
934,CW535827,13
935,EH543351,9
936,BL111224,19
937,CW671027,1
938,CW725868,1
939,CW788356,19
940,CW76770,19
941,CW824790,37
942,CW1114054,42
943,CW6588,1
944,CW103187,24
945,CW665026,26
946,CW977883,48
947,CW53446,19
948,CW430166,30
949,CW889075,44
950,CW272529,6
951,CW1038466,22
952,CW936043,28
953,CW801433,17
954,CW917442,13
955,CW740276,20
956,CW820011,36
957,CW1141031,64
958,CW780905,12
959,CW841022,29
960,CW1105990,64
961,CW647823,1
962,CW10469,16
963,CW114409,2
964,CW768512,18
965,CW505158,19
966,CW708291,48
967,CW726262,48
968,CW618730,36
969,CW902798,5
970,CW865689,24
971,CW1128688,19
972,CW13846,20
973,DD134238,25
974,CW870230,19
975,CW986157,36
976,CW649043,14
977,CW712510,11
978,BY289034,19
979,CW695928,21
980,CW785517,19
981,CW464808,19
982,CW578897,19
983,CW16472,19
984,CW823491,32
985,CW738522,19
986,CW430077,19
987,CW852814,19
988,CW1125698,19
989,BN323693,19
990,CW658048,19
991,CW814621,36
992,CW774891,16
993,CW935619,13
994,CW1024925,1
995,CW722031,5
996,CW925679,19
997,CW773228,15
998,CW453549,26
999,CW1034272,37
1000,CW919322,16
1001,CW732038,22
1002,CW243089,19
1003,AN121102,19
1004,CW1066388,5
1005,CW503006,38
1006,CW885591,29
1007,CW681289,19
1008,CW781735,18
1009,CG43610,51
1010,CW633379,19
1011,CW618087,13
1012,CW841891,21
1013,CW853668,38
1014,CW76748,13
1015,CW988494,19
1016,CW502794,19
1017,CW237728,19
1018,EF140437,34
1019,CW878454,7
1020,CW668399,16
1021,CW807272,17
1022,CW804730,36
1023,CW1084266,21
1024,CW802997,19
1025,CW923512,25
1026,CW1076758,5
1027,CW677604,34
1028,CW495204,19
1029,CW1155007,19
1030,CW819275,15
1031,CW50138,25
1032,CW1084105,29
1033,CW1052443,34
1034,CW994849,5
1035,CW774350,15
1036,CW855455,36
1037,CW847690,19
1038,CW690136,8
1039,CW812483,5
1040,CW407449,34
1041,CW496442,15
1042,CW772417,16
1043,CW129364,25
1044,CW654152,9
1045,CW857250,19
1046,CW888847,14
1047,CW522976,19
1048,CW30656,26
1049,CW560993,38
1050,CW964701,38
1051,CW147375,14
1052,CW381210,19
1053,CW359379,11
1054,CW54310,19
1055,CW937337,9
1056,CW1097659,15
1057,CW782164,14
1058,CW858937,36
1059,CW857144,38
1060,CW888597,19
1061,CW730185,34
1062,CW565605,19
1063,CW766813,13
1064,CW555855,19
1065,CW597951,28
1066,CW234899,14
1067,CW114275,9
1068,CW834649,5
1069,CW836704,9
1070,CW212240,14
1071,CW763278,29
1072,CW765189,20
1073,CW772949,9
1074,CW827341,8
1075,CW856103,9
1076,CX13365,13
1077,CX16681,8
1078,CX14648,4
1079,CX18434,8
1080,CX18524,13
1081,CY23488,8
1082,CY20647,2
1083,CY25241,8
1084,CY8606,15
1085,CY20138,15
1086,CZ15419,26
1087,CZ26824,13
1088,CZ86898,13
1089,CZ2588,22
1090,CZ88396,64
1091,CZ80030,9
1092,CZ38774,15
1093,CZ78595,6
1094,CZ48717,8
1095,CZ91013,8
1096,CZ93438,10
1097,CZ25562,11
1098,CZ43730,59
1099,CZ67659,14
1100,CZ17432,11
1101,CZ79791,2
1102,CZ81359,19
1103,CZ101129,64
1104,CZ69877,16
1105,DH49143,12
1106,CZ25984,12
1107,CZ58654,19
1108,DA66034,9
1109,DA89512,16
1110,DA3204,30
1111,DA105751,42
1112,DA114870,28
1113,DA115432,30
1114,DA111415,1
1115,DA11538,6
1116,DA11296,9
1117,EP82216,37
1118,DA96469,22
1119,DA6495,8
1120,DA17422,16
1121,DA62739,21
1122,DA88757,13
1123,DA37422,9
1124,DA116087,22
1125,EJ28453,64
1126,DA52091,29
1127,DB221993,33
1128,DB127572,27
1129,DB137581,33
1130,DB2616,15
1131,DB85683,15
1132,DB211697,3
1133,DB282282,15
1134,DB219705,14
1135,BY468817,14
1136,DB51935,14
1137,DB185192,15
1138,DB115847,25
1139,DB36405,14
1140,DB253214,3
1141,DB226493,22
1142,DB149511,20
1143,DB179652,14
1144,DB195629,15
1145,DB206284,14
1146,DB216116,14
1147,DB204765,15
1148,DB133895,20
1149,DB147336,13
1150,DB194045,17
1151,DB185910,15
1152,DB169363,5
1153,DB236560,4
1154,DL169910,27
1155,DB226201,62
1156,AS50953,20
1157,DB102670,18
1158,DB177122,20
1159,DB267922,4
1160,DB257440,20
1161,DB228637,20
1162,DB216613,15
1163,DB150913,18
1164,DB91051,15
1165,DB236787,5
1166,AL208348,3
1167,DC18149,10
1168,DC2151,2
1169,DC5811,15
1170,DC18359,13
1171,DC25924,2
1172,DD137612,15
1173,DD128566,5
1174,DD17443,13
1175,DD74598,9
1176,DD116493,5
1177,DD97617,22
1178,DD109354,15
1179,DD157402,13
1180,DD154246,13
1181,DD155240,11
1182,DD156386,14
1183,DD64510,13
1184,DD83289,21
1185,DD55933,14
1186,DD107769,6
1187,DD108766,14
1188,DD128793,19
1189,DD138070,13
1190,DD126706,11
1191,DD12597,9
1192,DD117959,13
1193,DD109965,15
1194,DD137209,9
1195,DD72124,8
1196,DD130555,14
1197,DD137721,11
1198,EH835151,14
1199,DD120404,8
1200,DD72199,19
1201,DD134140,13
1202,DE239350,28
1203,DE282005,14
1204,EL52221,19
1205,DE241905,19
1206,DE15870,14
1207,DE236706,11
1208,DE266253,21
1209,DE127406,13
1210,DE211680,15
1211,DE298287,7
1212,DE241257,18
1213,DE263588,9
1214,DE172861,15
1215,DE95213,15
1216,BY399571,8
1217,DE231317,21
1218,DE283377,24
1219,DE275511,21
1220,DE254599,15
1221,DE17257,61
1222,DE192568,19
1223,DE243059,15
1224,DE254308,26
1225,DE225690,8
1226,DK34285,4
1227,DE240002,21
1228,CG108006,7
1229,DE294320,24
1230,DE137027,18
1231,DE266924,19
1232,DE307328,8
1233,AK9098,8
1234,DF16830,14
1235,DG52201,24
1236,DG23729,15
1237,DG45526,14
1238,DG44211,5
1239,DG52352,13
1240,DG41002,17
1241,DG57369,15
1242,DH47810,13
1243,DH21633,11
1244,DH27686,13
1245,DH49276,13
1246,DH31274,13
1247,DH38357,8
1248,DH36595,10
1249,DH33030,14
1250,DB187502,47
1251,DH50144,11
1252,AR7156,16
1253,DJ9669,8
1254,DJ7288,22
1255,DJ14396,7
1256,DJ7764,19
1257,DK37986,8
1258,DK34709,14
1259,DK18914,29
1260,DK17905,1
1261,DK5579,8
1262,DK35398,26
1263,DL218172,14
1264,DK31687,21
1265,DL188456,64
1266,DL254358,64
1267,DL195161,15
1268,DL188272,7
1269,DL94696,20
1270,DL219021,16
1271,DL116041,15
1272,DL228796,19
1273,DL219007,14
1274,DL119157,14
1275,DL13470,17
1276,DL182671,13
1277,DL171830,15
1278,DL50496,21
1279,DL165008,15
1280,CW776061,34
1281,DL191673,20
1282,DL247115,14
1283,DL95999,14
1284,DL240464,15
1285,DL212226,13
1286,DL234008,14
1287,DL191634,14
1288,DL123654,14
1289,DL220535,19
1290,DL252972,14
1291,DL183534,31
1292,DL244285,15
1293,DL176641,14
1294,DL208447,19
1295,DM28743,15
1296,DM20532,11
1297,DM13143,10
1298,DN97488,7
1299,DN119147,13
1300,DN130839,14
1301,DN52251,6
1302,DN48164,9
1303,DN127639,2
1304,DN124165,10
1305,DN14068,6
1306,CL47115,2
1307,DN107961,8
1308,DN72880,13
1309,DN18340,10
1310,DN121700,7
1311,DN25665,11
1312,DN44832,8
1313,DN21831,2
1314,DN47977,1
1315,BH146977,2
1316,DP30715,8
1317,DP27791,11
1318,DP16741,8
1319,DP37740,14
1320,DP44784,8
1321,DP24201,1
1322,DR108607,9
1323,DR70423,11
1324,DR106949,14
1325,DR116989,16
1326,DR84451,11
1327,DR77660,13
1328,DR62377,3
1329,DR106790,9
1330,DR33450,11
1331,DR32225,13
1332,DR99576,16
1333,DR46840,8
1334,DR30162,10
1335,DR58599,5
1336,DR112038,19
1337,DR102264,10
1338,DR106025,14
1339,DR95721,5
1340,DR6928,14
1341,DR71935,3
1342,DR112159,52
1343,DS41486,8
1344,DS49381,14
1345,DS10373,7
1346,DS83317,9
1347,DS109227,15
1348,DS102497,8
1349,DS26788,20
1350,DS2946,9
1351,DS35937,8
1352,AT12336,16
1353,DS77150,13
1354,DS34504,15
1355,DS108459,17
1356,DS28470,13
1357,DS105129,9
1358,DS33693,14
1359,DS65231,9
1360,DT145059,8
1361,DT39768,8
1362,DT119805,4
1363,DT111169,8
1364,DT136804,11
1365,DT131307,8
1366,DT107360,10
1367,DT128763,6
1368,DT14534,4
1369,DT104236,13
1370,DT135199,12
1371,DT135786,30
1372,DT34432,17
1373,DT132427,1
1374,DT126458,6
1375,DT90223,7
1376,DT146308,14
1377,DT135273,64
1378,DT137404,8
1379,DT139145,14
1380,DT136913,8
1381,DT117210,13
1382,DT58076,15
1383,DT15464,15
1384,DT69409,7
1385,DT114466,10
1386,DT4535,8
1387,DT118646,11
1388,DT137281,11
1389,AN127662,8
1390,DW14498,11
1391,DW58296,9
1392,DW26228,9
1393,DW59352,9
1394,DW33438,2
1395,DW57569,8
1396,DW32613,8
1397,DX19962,11
1398,DX20968,64
1399,DX5765,8
1400,DX21318,8
1401,DX52821,15
1402,DX57366,11
1403,DX46144,8
1404,DX12634,13
1405,DX25278,13
1406,DX27029,8
1407,DX53435,9
1408,DX52876,15
1409,DX28842,7
1410,DX58967,16
1411,DX49208,11
1412,DX40537,13
1413,DX50061,10
1414,DY31276,2
1415,DY3386,4
1416,DY27573,11
1417,DY5171,8
1418,DY27167,4
1419,DY8504,11
1420,DY3439,10
1421,DY31576,9
1422,DZ8935,10
1423,DZ10543,7
1424,DZ18479,4
1425,DZ25666,11
1426,DZ25730,8
1427,DZ69398,11
1428,DZ51689,16
1429,DZ67110,7
1430,DZ46421,9
1431,DZ51595,59
1432,EA34052,45
1433,EA25859,8
1434,EA46556,11
1435,EA32919,14
1436,EA21865,11
1437,EA9905,7
1438,EB52851,5
1439,EB54754,7
1440,EB50168,9
1441,EB54023,10
1442,EB44509,11
1443,EB10381,2
1444,EB10241,15
1445,EB51978,11
1446,EB31283,8
1447,EB55930,11
1448,EB52058,8
1449,EB66859,8
1450,EB29229,11
1451,EB12689,10
1452,EB47053,52
1453,EC2893,9
1454,CB56809,8
1455,EC20889,13
1456,EC6342,17
1457,EC6384,19
1458,EC12797,16
1459,ED29425,42
1460,ED38870,1
1461,ED12970,11
1462,ED39171,8
1463,ED28424,8
1464,ED36215,8
1465,ED10174,1
1466,ED41293,26
1467,EF135709,8
1468,EF127181,14
1469,EF112676,8
1470,EF162809,9
1471,EF132754,7
1472,CW318355,13
1473,EF148073,19
1474,EF24781,14
1475,EF41364,15
1476,EF172091,9
1477,EF84410,14
1478,EF144695,8
1479,EF54060,8
1480,EF78267,14
1481,EF153976,4
1482,EF149724,9
1483,EF34485,9
1484,EF161021,14
1485,EF67135,11
1486,EF15661,8
1487,EF44487,8
1488,CW648188,12
