,id_a,distancia
0,AA133683,1
1,AA148985,34
2,AA156225,24
3,AA173267,29
4,AA156594,8
5,AA183493,14
6,AA134070,34
7,AA118636,15
8,AA26654,6
9,AA155995,11
10,AA28509,11
11,AA149261,14
12,AA157937,8
13,AA129147,47
14,AA36931,8
15,AA122613,38
16,AA112186,16
17,AB36968,34
18,AB3635,60
19,AB32650,40
20,AB23370,22
21,AB6349,52
22,AS66941,2
23,AB29289,30
24,AC15504,28
25,AC13036,21
26,AC5969,9
27,AD28116,14
28,AD19080,13
29,AD14670,22
30,AD24298,8
31,AD27864,14
32,DZ58676,22
33,AD27459,19
34,AE21358,14
35,AE28877,20
36,AE26382,41
37,AE23669,19
38,AF18425,42
39,AF25219,19
40,AF22330,18
41,AF20280,19
42,AF5551,16
43,AF23440,26
44,AF8252,57
45,AG24432,19
46,AG42049,27
47,AG29271,29
48,AG5273,8
49,AG47474,18
50,AG46950,15
51,AG4421,21
52,AG46064,26
53,AG37449,32
54,AG31393,37
55,AG40290,38
56,AG43914,64
57,AH2129,14
58,AH6699,14
59,AH10864,14
60,AH12408,14
61,AH18471,2
62,AJ39544,36
63,DX21011,26
64,AJ35691,47
65,AJ34878,16
66,AJ10149,24
67,AJ5030,21
68,AK104315,2
69,AK101486,18
70,AK5610,5
71,AK112657,19
72,AK73589,24
73,AK77868,26
74,AK120198,14
75,AK69595,19
76,AK78434,38
77,AK118666,38
78,AK122965,2
79,AK136673,31
80,AK92352,29
81,AK16877,26
82,AK56474,22
83,AK89469,16
84,AK80215,19
85,AK20908,22
86,AK21177,19
87,AL253492,22
88,AL186551,38
89,AL158457,8
90,AL241885,14
91,AL225527,34
92,AL4282,64
93,AL218978,27
94,AL129571,26
95,AL7394,1
96,AL137549,31
97,BL338212,22
98,CG91407,22
99,AL9669,34
100,AL242005,52
101,AL196265,40
102,AL102787,5
103,AL226917,15
104,AL260012,19
105,AL231720,8
106,AL273493,11
107,AL226219,14
108,AL253707,37
109,AL31393,26
110,AL49491,9
111,CC108122,34
112,AL149483,34
113,AL143878,25
114,AL19361,37
115,AL53058,42
116,AL292664,22
117,AL222756,2
118,AL19776,34
119,AL267518,34
120,AL222807,26
121,AL192408,48
122,AL198673,22
123,AL247562,64
124,AL250820,40
125,AL146839,1
126,AL90210,37
127,AL201655,14
128,AL235728,22
129,EH711937,26
130,AM79330,32
131,AM74679,38
132,AM25019,34
133,AM81173,26
134,AM16559,42
135,AM2414,14
136,CW755170,37
137,AM83390,29
138,AM96926,29
139,AM30509,29
140,AM78608,15
141,AM20206,29
142,AM37728,14
143,AM83930,32
144,AM11878,42
145,AM91600,15
146,AM85020,22
