,id_a,distancia,split_number,bf
0,AA36931,4,4,bbf
1,AB6349,4,4,bbf
2,AF8252,4,4,bbf
3,AJ10149,1,4,bbf
4,AK101486,1,4,bbf
5,AK77868,1,4,bbf
6,AK118666,1,4,bbf
7,AL4282,4,4,bbf
8,AL129571,4,4,bbf
9,AL137549,4,4,bbf
10,AL260012,4,4,bbf
11,AL31393,4,4,bbf
12,AL292664,4,4,bbf
13,AL90210,1,4,bbf
14,EH711937,1,4,bbf
15,AM74679,4,4,bbf
16,AM96926,1,4,bbf
17,AM30509,4,4,bbf
18,AM11878,4,4,bbf
19,AN184883,1,4,bbf
20,AN192980,4,4,bbf
21,AN195770,4,4,bbf
22,AN198038,4,4,bbf
23,AN121625,4,4,bbf
24,AN99584,1,4,bbf
25,AN102279,4,4,bbf
26,AW174965,1,4,bbf
27,AW6339,1,4,bbf
28,AY27393,1,4,bbf
29,DN71002,4,4,bbf
30,BD52290,1,4,bbf
31,BD138825,4,4,bbf
32,DD110802,4,4,bbf
33,BE400449,4,4,bbf
34,BE108939,4,4,bbf
35,BE274364,1,4,bbf
36,BE55827,1,4,bbf
37,BE78653,1,4,bbf
38,BE105527,1,4,bbf
39,BG8403,1,4,bbf
40,BH80872,4,4,bbf
41,BH102713,4,4,bbf
42,BJ42479,4,4,bbf
43,BK49547,1,4,bbf
44,BL226149,4,4,bbf
45,BL442077,4,4,bbf
46,BL38460,4,4,bbf
47,BN472445,4,4,bbf
48,BN390213,4,4,bbf
49,AF25802,4,4,bbf
50,BN431739,4,4,bbf
51,BN38691,4,4,bbf
52,BR115155,4,4,bbf
53,BR172547,4,4,bbf
54,BR168193,1,4,bbf
55,BW3555,1,4,bbf
56,BY528290,4,4,bbf
57,BY616914,4,4,bbf
58,BY518111,4,4,bbf
59,BY265322,1,4,bbf
60,AL210909,4,4,bbf
61,AK55337,4,4,bbf
62,BZ29111,1,4,bbf
63,CB5222,1,4,bbf
64,AK77330,1,4,bbf
65,CD15975,1,4,bbf
66,CD24236,4,4,bbf
67,CE37711,1,4,bbf
68,CE48228,4,4,bbf
69,CE13756,1,4,bbf
70,CG132476,4,4,bbf
71,CG116958,4,4,bbf
72,CG169627,4,4,bbf
73,CG134332,4,4,bbf
74,AW142867,1,4,bbf
75,CG169445,1,4,bbf
76,CG147105,1,4,bbf
77,CH31171,1,4,bbf
78,CJ55814,4,4,bbf
79,CJ22540,4,4,bbf
80,EH639228,4,4,bbf
81,CJ117700,4,4,bbf
82,CL45923,4,4,bbf
83,CN47457,4,4,bbf
84,CR6299,4,4,bbf
85,CS19040,4,4,bbf
86,CS31441,4,4,bbf
87,CW1114054,4,4,bbf
88,CW977883,4,4,bbf
89,CW53446,4,4,bbf
90,CW1141031,4,4,bbf
91,CW1105990,4,4,bbf
92,CW505158,1,4,bbf
93,CW13846,1,4,bbf
94,CW870230,1,4,bbf
95,CW986157,1,4,bbf
96,CW1034272,1,4,bbf
97,CW1066388,4,4,bbf
98,CG43610,1,4,bbf
99,CW1076758,4,4,bbf
100,CW1084105,4,4,bbf
101,CW847690,4,4,bbf
102,CW407449,1,4,bbf
103,CW888597,4,4,bbf
104,CZ15419,4,4,bbf
105,CZ88396,4,4,bbf
106,CZ43730,4,4,bbf
107,CZ101129,4,4,bbf
108,DA105751,4,4,bbf
109,DA115432,4,4,bbf
110,DA111415,4,4,bbf
111,DA11296,1,4,bbf
112,EP82216,4,4,bbf
113,DB137581,4,4,bbf
114,DB226493,4,4,bbf
115,DB226201,4,4,bbf
116,DD83289,1,4,bbf
117,DE17257,4,4,bbf
118,DE294320,4,4,bbf
119,AK9098,4,4,bbf
120,DB187502,4,4,bbf
121,DK37986,4,4,bbf
122,DK34709,4,4,bbf
123,DK18914,4,4,bbf
124,DK35398,4,4,bbf
125,DL188456,4,4,bbf
126,DL254358,4,4,bbf
127,CW776061,4,4,bbf
128,DL240464,1,4,bbf
129,DL234008,4,4,bbf
130,CL47115,4,4,bbf
131,DN21831,1,4,bbf
132,DP30715,1,4,bbf
133,DR112159,4,4,bbf
134,DS26788,1,4,bbf
135,DT135273,4,4,bbf
136,DW33438,1,4,bbf
137,DX20968,4,4,bbf
138,DX21318,4,4,bbf
139,DZ25730,1,4,bbf
140,DZ51595,4,4,bbf
141,EA34052,1,4,bbf
142,EB66859,4,4,bbf
143,EB47053,4,4,bbf
144,ED29425,4,4,bbf
145,ED12970,4,4,bbf
146,EF161021,4,4,bbf
147,EF67961,4,4,bbf
148,EF110604,1,4,bbf
149,EG15569,1,4,bbf
150,EH8095,4,4,bbf
151,EH868685,4,4,bbf
152,EH550387,4,4,bbf
153,EH705163,4,4,bbf
154,EH383993,4,4,bbf
155,EH572779,4,4,bbf
156,EH545176,4,4,bbf
157,EH931844,4,4,bbf
158,DH36371,4,4,bbf
159,CA47394,1,4,bbf
160,EH275385,1,4,bbf
161,EH865368,1,4,bbf
162,EH480190,4,4,bbf
163,EH424113,4,4,bbf
164,EH632884,1,4,bbf
165,EH489264,4,4,bbf
166,EP35093,4,4,bbf
167,EP12857,4,4,bbf
168,ER27156,1,4,bbf
169,ES23461,4,4,bbf
