,id_a,distancia
0,AA133683,1
1,AA148985,3
2,AA156225,1
3,AA173267,3
4,AA156594,3
5,AA183493,3
6,AA134070,2
7,AA118636,2
8,AA26654,2
9,AA155995,3
10,AA28509,1
11,AA149261,3
12,AA157937,4
13,AA129147,3
14,AA36931,8
15,AA122613,2
16,AA112186,3
17,AB36968,2
18,AB3635,3
19,AB32650,2
20,AB23370,4
21,AB6349,52
22,AS66941,1
23,AB29289,3
24,AC15504,2
25,AC13036,2
26,AC5969,2
27,AD28116,2
28,AD19080,2
29,AD14670,2
30,AD24298,3
31,AD27864,2
32,DZ58676,2
33,AD27459,1
34,AE21358,3
35,AE28877,2
36,AE26382,2
37,AE23669,2
38,AF18425,2
39,AF25219,3
40,AF22330,2
41,AF20280,3
42,AF5551,2
43,AF23440,3
44,AF8252,57
45,AG24432,2
46,AG42049,3
47,AG29271,2
48,AG5273,2
49,AG47474,3
50,AG46950,2
51,AG4421,3
52,AG46064,2
53,AG37449,3
54,AG31393,2
55,AG40290,1
56,AG43914,2
57,AH2129,3
58,AH6699,4
59,AH10864,3
60,AH12408,2
61,AH18471,2
62,AJ39544,2
63,DX21011,3
64,AJ35691,4
65,AJ34878,3
66,AJ10149,3
67,AJ5030,3
68,AK104315,2
69,AK101486,2
70,AK5610,2
71,AK112657,3
72,AK73589,2
73,AK77868,2
74,AK120198,4
75,AK69595,3
76,AK78434,3
77,AK118666,3
78,AK122965,1
79,AK136673,3
80,AK92352,3
81,AK16877,3
82,AK56474,3
83,AK89469,3
84,AK80215,2
85,AK20908,2
86,AK21177,3
87,AL253492,3
88,AL186551,4
89,AL158457,2
90,AL241885,2
91,AL225527,3
92,AL4282,64
93,AL218978,2
94,AL129571,14
95,AL7394,1
96,AL137549,2
97,BL338212,2
98,CG91407,2
99,AL9669,3
100,AL242005,2
101,AL196265,2
102,AL102787,3
103,AL226917,3
104,AL260012,19
105,AL231720,3
106,AL273493,4
107,AL226219,3
108,AL253707,3
109,AL31393,26
110,AL49491,2
111,CC108122,3
112,AL149483,2
113,AL143878,3
114,AL19361,3
115,AL53058,2
116,AL292664,22
117,AL222756,2
118,AL19776,4
119,AL267518,2
120,AL222807,2
121,AL192408,3
122,AL198673,2
123,AL247562,3
124,AL250820,3
125,AL146839,1
126,AL90210,2
127,AL201655,3
128,AL235728,2
129,EH711937,3
130,AM79330,2
131,AM74679,38
132,AM25019,3
133,AM81173,3
134,AM16559,3
135,AM2414,2
136,CW755170,2
137,AM83390,3
138,AM96926,2
139,AM30509,29
140,AM78608,4
141,AM20206,3
142,AM37728,1
143,AM83930,3
144,AM11878,34
145,AM91600,3
146,AM85020,2
147,AM39518,4
148,AM81589,2
149,AM81876,4
150,AN22869,2
151,AN80051,2
152,AN184883,2
153,AN144792,3
154,AN72237,4
155,AN122986,2
156,AN32610,2
157,AN144435,2
158,AN5722,4
159,AN127195,3
160,AN163486,3
161,AN21078,3
162,AN166182,2
163,AN192980,22
164,AN132886,2
165,AN195770,3
166,AN198038,20
167,AN121625,11
168,AN124301,2
169,AN163264,3
170,AN109444,3
171,AN99584,3
172,AN106055,2
173,AN14003,3
174,EH109111,2
175,AN14524,2
176,AN187401,2
177,AN197757,1
178,AN102279,20
179,AN57633,8
180,AN56469,2
181,AN186071,3
182,AN121822,5
183,AN126895,3
184,AP54149,4
185,EL50977,2
186,AP39965,2
187,AP73880,2
