,id_a,distancia,split_number,bf
0,AA36931,4,4,xbf
1,AB6349,4,4,xbf
2,AF8252,4,4,xbf
3,AJ10149,1,4,xbf
4,AK101486,1,4,xbf
5,AK77868,1,4,xbf
6,AK118666,1,4,xbf
7,AL4282,4,4,xbf
8,AL129571,4,4,xbf
9,AL137549,4,4,xbf
10,AL260012,4,4,xbf
11,AL31393,4,4,xbf
12,AL292664,4,4,xbf
13,AL90210,1,4,xbf
14,EH711937,1,4,xbf
15,AM74679,4,4,xbf
16,AM96926,1,4,xbf
17,AM30509,4,4,xbf
18,AM11878,4,4,xbf
19,AN184883,1,4,xbf
20,AN192980,4,4,xbf
21,AN195770,4,4,xbf
22,AN198038,4,4,xbf
23,AN121625,4,4,xbf
24,AN99584,1,4,xbf
25,AN102279,4,4,xbf
26,AW174965,1,4,xbf
27,AW6339,1,4,xbf
28,AY27393,1,4,xbf
29,DN71002,4,4,xbf
30,BD52290,1,4,xbf
31,BD138825,4,4,xbf
32,DD110802,4,4,xbf
33,BE400449,4,4,xbf
34,BE108939,4,4,xbf
35,BE274364,1,4,xbf
36,BE55827,1,4,xbf
37,BE78653,1,4,xbf
38,BE105527,1,4,xbf
39,BG8403,1,4,xbf
40,BH80872,4,4,xbf
41,BH102713,4,4,xbf
42,BJ42479,4,4,xbf
43,BK49547,1,4,xbf
44,BL226149,4,4,xbf
45,BL442077,3,4,xbf
46,BL38460,4,4,xbf
47,BN472445,4,4,xbf
48,BN390213,4,4,xbf
49,AF25802,4,4,xbf
50,BN431739,4,4,xbf
51,BN38691,4,4,xbf
52,BR115155,4,4,xbf
53,BR172547,4,4,xbf
54,BR168193,1,4,xbf
55,BW3555,1,4,xbf
56,BY528290,4,4,xbf
57,BY616914,4,4,xbf
58,BY518111,4,4,xbf
59,BY265322,1,4,xbf
60,AL210909,4,4,xbf
61,AK55337,2,4,xbf
62,BZ29111,1,4,xbf
63,CB5222,1,4,xbf
64,AK77330,1,4,xbf
65,CD15975,1,4,xbf
66,CD24236,4,4,xbf
67,CE37711,1,4,xbf
68,CE48228,4,4,xbf
69,CE13756,1,4,xbf
70,CG132476,4,4,xbf
71,CG116958,4,4,xbf
72,CG169627,4,4,xbf
73,CG134332,4,4,xbf
74,AW142867,1,4,xbf
75,CG169445,1,4,xbf
76,CG147105,1,4,xbf
77,CH31171,1,4,xbf
78,CJ55814,4,4,xbf
79,CJ22540,4,4,xbf
80,EH639228,4,4,xbf
81,CJ117700,4,4,xbf
82,CL45923,4,4,xbf
83,CN47457,4,4,xbf
84,CR6299,4,4,xbf
85,CS19040,4,4,xbf
86,CS31441,1,4,xbf
87,CW1114054,4,4,xbf
88,CW977883,4,4,xbf
89,CW53446,4,4,xbf
90,CW1141031,4,4,xbf
91,CW1105990,4,4,xbf
92,CW505158,1,4,xbf
93,CW13846,1,4,xbf
94,CW870230,1,4,xbf
95,CW986157,1,4,xbf
96,CW1034272,1,4,xbf
97,CW1066388,4,4,xbf
98,CG43610,1,4,xbf
99,CW1076758,4,4,xbf
100,CW1084105,4,4,xbf
101,CW847690,4,4,xbf
102,CW407449,1,4,xbf
103,CW888597,4,4,xbf
104,CZ15419,4,4,xbf
105,CZ88396,4,4,xbf
106,CZ43730,4,4,xbf
107,CZ101129,4,4,xbf
108,DA105751,4,4,xbf
109,DA115432,4,4,xbf
110,DA111415,4,4,xbf
111,DA11296,1,4,xbf
112,EP82216,4,4,xbf
113,DB137581,4,4,xbf
114,DB226493,4,4,xbf
115,DB226201,4,4,xbf
116,DD83289,1,4,xbf
117,DE17257,4,4,xbf
118,DE294320,4,4,xbf
119,AK9098,4,4,xbf
120,DB187502,4,4,xbf
121,DK37986,4,4,xbf
122,DK34709,4,4,xbf
123,DK18914,4,4,xbf
124,DK35398,4,4,xbf
125,DL188456,4,4,xbf
126,DL254358,1,4,xbf
127,CW776061,4,4,xbf
128,DL240464,1,4,xbf
129,DL234008,4,4,xbf
130,CL47115,4,4,xbf
131,DN21831,1,4,xbf
132,DP30715,1,4,xbf
133,DR112159,4,4,xbf
134,DS26788,1,4,xbf
135,DT135273,4,4,xbf
136,DW33438,1,4,xbf
137,DX20968,4,4,xbf
138,DX21318,4,4,xbf
139,DZ25730,1,4,xbf
140,DZ51595,4,4,xbf
141,EA34052,1,4,xbf
142,EB66859,4,4,xbf
143,EB47053,4,4,xbf
144,ED29425,4,4,xbf
145,ED12970,4,4,xbf
146,EF161021,4,4,xbf
147,EF67961,4,4,xbf
148,EF110604,1,4,xbf
149,EG15569,1,4,xbf
150,EH8095,4,4,xbf
151,EH868685,4,4,xbf
152,EH550387,4,4,xbf
153,EH705163,4,4,xbf
154,EH383993,4,4,xbf
155,EH572779,4,4,xbf
156,EH545176,4,4,xbf
157,EH931844,4,4,xbf
158,DH36371,4,4,xbf
159,CA47394,1,4,xbf
160,EH275385,1,4,xbf
161,EH865368,1,4,xbf
162,EH480190,4,4,xbf
163,EH424113,4,4,xbf
164,EH632884,1,4,xbf
165,EH489264,4,4,xbf
166,EP35093,4,4,xbf
167,EP12857,4,4,xbf
168,ER27156,1,4,xbf
169,ES23461,4,4,xbf
