,id_a,distancia
0,AA133683,1
1,AA148985,1
2,AA156225,1
3,AA173267,2
4,AA156594,2
5,AA183493,3
6,AA134070,1
7,AA118636,2
8,AA26654,2
9,AA155995,1
10,AA28509,1
11,AA149261,2
12,AA157937,2
13,AA129147,2
14,AA36931,8
15,AA122613,1
16,AA112186,1
17,AB36968,2
18,AB3635,1
19,AB32650,2
20,AB23370,2
21,AB6349,1
22,AS66941,1
23,AB29289,2
24,AC15504,2
25,AC13036,2
26,AC5969,1
27,AD28116,1
28,AD19080,2
29,AD14670,1
30,AD24298,2
31,AD27864,2
32,DZ58676,1
33,AD27459,1
34,AE21358,2
35,AE28877,1
36,AE26382,1
37,AE23669,2
38,AF18425,2
39,AF25219,1
40,AF22330,1
41,AF20280,1
42,AF5551,2
43,AF23440,2
44,AF8252,13
45,AG24432,2
46,AG42049,1
47,AG29271,2
48,AG5273,2
49,AG47474,1
50,AG46950,1
51,AG4421,1
52,AG46064,1
53,AG37449,3
54,AG31393,2
55,AG40290,1
56,AG43914,2
57,AH2129,2
58,AH6699,2
59,AH10864,3
60,AH12408,1
61,AH18471,2
62,AJ39544,1
63,DX21011,2
64,AJ35691,3
65,AJ34878,2
66,AJ10149,2
67,AJ5030,2
68,AK104315,2
69,AK101486,1
70,AK5610,2
71,AK112657,1
72,AK73589,2
73,AK77868,2
74,AK120198,2
75,AK69595,2
76,AK78434,2
77,AK118666,2
78,AK122965,1
79,AK136673,1
80,AK92352,2
81,AK16877,1
82,AK56474,1
83,AK89469,2
84,AK80215,2
85,AK20908,1
86,AK21177,2
87,AL253492,1
88,AL186551,2
89,AL158457,1
90,AL241885,1
91,AL225527,3
92,AL4282,43
93,AL218978,2
94,AL129571,2
95,AL7394,1
96,AL137549,2
97,BL338212,1
98,CG91407,2
99,AL9669,2
100,AL242005,2
101,AL196265,1
102,AL102787,1
103,AL226917,3
104,AL260012,19
105,AL231720,1
106,AL273493,2
107,AL226219,2
108,AL253707,2
109,AL31393,26
110,AL49491,1
111,CC108122,2
112,AL149483,2
113,AL143878,1
114,AL19361,1
115,AL53058,2
116,AL292664,22
117,AL222756,2
118,AL19776,2
119,AL267518,2
120,AL222807,2
121,AL192408,2
122,AL198673,2
123,AL247562,2
124,AL250820,2
125,AL146839,1
126,AL90210,2
127,AL201655,2
128,AL235728,2
129,EH711937,2
130,AM79330,2
131,AM74679,38
132,AM25019,1
133,AM81173,1
134,AM16559,2
135,AM2414,1
136,CW755170,2
137,AM83390,2
138,AM96926,2
139,AM30509,11
140,AM78608,2
141,AM20206,2
142,AM37728,1
143,AM83930,2
144,AM11878,4
145,AM91600,3
146,AM85020,2
147,AM39518,3
148,AM81589,1
149,AM81876,3
150,AN22869,2
151,AN80051,2
152,AN184883,2
153,AN144792,2
154,AN72237,2
155,AN122986,2
156,AN32610,2
157,AN144435,1
158,AN5722,2
159,AN127195,2
160,AN163486,3
161,AN21078,2
162,AN166182,1
163,AN192980,22
164,AN132886,2
165,AN195770,3
166,AN198038,20
167,AN121625,11
168,AN124301,2
169,AN163264,2
170,AN109444,2
171,AN99584,2
172,AN106055,1
173,AN14003,2
174,EH109111,2
175,AN14524,1
176,AN187401,2
177,AN197757,1
178,AN102279,2
179,AN57633,2
180,AN56469,2
181,AN186071,2
182,AN121822,1
183,AN126895,2
184,AP54149,2
185,EL50977,2
186,AP39965,1
187,AP73880,2
188,AP23032,2
189,AM73731,2
190,AP27264,1
191,AP69516,1
192,AP28281,2
193,AP4480,1
194,AP75921,2
195,AP29442,2
196,AP39912,2
197,AP30991,1
198,AM64602,2
199,AP81448,1
200,AR14008,2
201,AS63804,1
202,AS58016,1
203,AS79203,2
204,AS86129,2
205,AS36678,1
206,AS24148,2
207,AS86503,2
208,AS78167,1
209,AS85572,1
210,AS47144,2
211,AS76317,2
212,AS85196,2
213,DL115164,2
214,AS65390,2
215,AS77317,1
216,AS13031,2
217,AS44520,1
218,AS14976,2
219,AS75879,2
220,AT8181,3
221,AT8481,1
222,AT27997,2
223,AW190842,1
224,AX68174,1
225,AW132709,1
226,AW6363,1
227,AW196088,2
228,AW167906,1
229,CW509040,2
230,AW138252,1
231,AW108699,2
232,AW110905,2
233,AW203617,2
234,AW168443,1
235,AW134578,1
236,AW90915,2
237,AW166651,1
238,AW131893,2
239,AW172023,2
240,AW127055,1
241,AW206282,2
242,AW157381,2
243,AW161689,1
244,CN61774,2
245,AW131735,1
246,AW23336,2
247,AW168724,2
248,AW84328,2
249,AW144840,1
250,AW102616,1
251,AW174965,2
252,AW6339,2
253,AW185536,2
254,AX2065,2
255,AX47586,2
256,AX4014,2
257,AX32662,1
258,AX7110,2
259,AX42203,1
260,AX54075,2
261,AX36949,1
262,AX9577,2
263,DE174808,1
264,AX36413,1
265,AX56958,2
266,AX35850,1
267,AY16743,1
268,AY25754,2
269,AY34658,2
270,AZ16432,2
271,AY27393,1
272,BA5123,2
273,BA7616,2
274,BA15079,2
275,BB36934,7
276,BB46453,1
277,BB94097,2
278,BB102225,2
279,DN71002,13
280,BB72542,2
281,BB41530,2
282,BB59749,2
283,BB42488,2
284,BB52527,2
285,BB33624,1
286,BB45678,1
287,BB71552,1
288,BC56103,1
289,BC56478,1
290,BC47962,2
291,BC28458,2
292,BC51840,1
293,BC55500,2
294,BC46727,1
295,BC36579,2
296,BC18810,2
297,BD8064,2
298,BD130599,2
299,BD105809,1
300,BD52290,1
301,BD114669,1
302,BD99277,2
303,BD138825,29
304,BD73339,2
305,BD135190,1
306,BD27764,2
307,BD46333,2
308,BD106654,2
309,BD121893,2
310,BD115898,2
311,BD7770,2
312,BD77832,2
313,BD114224,2
314,BD111555,2
315,BD130926,1
316,DD110802,8
317,BD79835,2
318,BD114053,2
319,BE400449,26
320,BE109801,1
321,BE277587,3
322,BE298300,1
323,BE337380,2
324,BE299565,2
325,BE253559,2
326,BE305470,1
327,BE173376,1
328,BE7466,3
329,BE58235,2
330,BE298406,1
331,BE316549,1
332,BE300057,2
333,BE346495,2
334,BE305230,1
335,BE285220,2
336,BE289998,2
337,BE210125,2
338,BE298555,2
339,BE374535,2
340,BE207356,2
341,BE233682,1
342,BE60962,2
343,BE239936,2
344,BE390939,2
345,BE318047,2
346,BE393259,2
347,BE327138,3
348,BE370476,2
349,BE251126,2
350,BE154108,2
351,BE190376,2
352,BE108939,2
353,BE274364,2
354,BE304350,1
355,BE174851,1
356,BE290718,2
357,BE242288,2
358,BE141354,1
359,BE55827,1
360,EH816715,2
361,BE78653,2
362,BE281379,1
363,BE310498,2
364,BE14869,2
365,BE317551,2
366,BE275311,3
367,BE386251,2
368,BE286078,2
369,BE160543,1
370,BE188733,1
371,BE302016,3
372,BE49185,1
373,BE105527,1
374,BE172950,2
375,BE255485,3
376,BE195283,2
377,BE49652,2
378,BE131036,2
379,BE308480,1
380,BE308688,1
381,BE349567,2
382,BE233350,2
383,BF33177,3
384,BF27159,1
385,BF28207,3
386,BF20965,3
387,BG18839,1
388,BG8403,2
389,BG2829,1
390,BG31453,1
391,BG47021,2
392,BG47029,1
393,DZ12338,2
394,BH80872,26
395,BN363007,1
396,BH13586,1
397,BH101915,3
398,BH149024,3
399,BH52304,1
400,BH163457,2
401,BH18129,2
402,BH18457,2
403,BH95277,2
404,BH102713,10
405,BH164806,1
406,BH79219,2
407,BH127133,2
408,BH140486,1
409,BH125098,2
410,BH6804,1
411,BH97700,1
412,BH152057,2
413,BH138141,2
414,BH63938,1
415,BJ42479,8
416,BJ5507,1
417,BJ36536,2
418,BJ24312,1
419,BK19207,2
420,BK43122,2
421,BK49547,1
422,BL132720,2
423,BL341037,1
424,BL347340,1
425,BL202249,2
426,BL258824,1
427,BL188825,2
428,BL191742,1
429,BL226149,34
430,BL74341,5
431,BL442077,8
432,BL455194,1
433,BY540657,2
434,BL263314,1
435,BL410348,1
436,BL285842,1
437,BL272835,2
438,BL375922,1
439,BL160995,3
440,BL394897,3
441,BL287354,2
442,BL330909,2
443,BL392966,2
444,BL353852,2
445,BL442823,1
446,BL463247,2
447,BL362701,2
448,BL385077,1
449,BL38460,2
450,BL370832,6
451,BL343618,1
452,BL129855,2
453,BL371881,11
454,BL301201,2
455,BL335246,8
456,BL230746,3
457,BL239897,2
458,BL43923,2
459,BL262935,1
460,BN324213,2
461,BL350444,2
462,BL281581,2
463,BL273851,4
464,BL459240,1
465,BL362097,2
466,BL465094,4
467,BL317367,8
468,BL213722,1
469,BL401222,1
470,BL419426,2
471,BL362350,2
472,BL344234,2
473,BL401502,1
474,BL364347,2
475,EH563588,2
476,BL325967,1
477,BL57028,2
478,BL382807,2
479,BL446120,1
480,BL372677,2
481,BL279830,1
482,BL441462,3
483,BL402693,1
484,BL308254,2
485,BL364328,2
486,BL51056,2
487,BL396640,2
488,BL406304,2
489,BM63171,2
490,BM58363,1
491,BM53531,1
492,BM65572,4
493,BM33103,2
494,BM71895,2
495,BM28827,2
496,BM13829,2
497,BM46717,1
498,BN168880,2
499,BN426199,3
500,BN410981,1
501,BN299194,2
502,BN5491,2
503,BN372936,1
504,AK93050,1
505,BN472445,62
506,BN438845,2
507,BN402565,3
508,BN364853,1
509,BN464898,2
510,BN367718,2
511,BN397096,1
512,BN390213,37
513,BN290579,3
514,BN18742,2
515,BN123352,2
516,AF25802,64
517,BN141373,2
518,DS55628,3
519,BN324246,3
520,BN332084,2
521,BN442051,2
522,BN213508,2
523,BN428974,3
524,BN326939,2
525,BN379944,2
526,BN400394,2
527,BN33644,2
528,BN481577,3
529,BN149569,2
530,BN431739,34
531,BN310841,2
532,BN450962,2
533,BN38057,1
534,BN257937,2
535,BN38691,1
536,BN349566,1
537,BN84693,2
538,BN368018,2
539,BN383643,2
540,BN249162,2
541,BN386286,2
542,BN368203,1
543,BN215914,3
544,BN323362,2
545,BN109701,2
546,BN465709,2
547,BN215960,3
548,CW586897,2
549,BN379317,1
550,BN295849,2
551,BN396895,3
552,BN58515,2
553,BN288662,3
554,BN192017,2
555,BN458577,2
556,DN118275,3
557,BN401685,2
558,BN68262,2
559,BY206751,2
560,BN341865,3
561,BP5669,1
562,BP47509,2
563,BP11064,1
564,BP39601,2
565,BP33096,2
566,BP43742,3
567,BP48812,1
568,BR141128,2
569,BR188845,2
570,BR115155,3
571,BR129032,2
572,BR3623,2
573,BR158132,2
574,BR158454,2
575,BR144607,3
576,BR7003,2
577,BR203441,1
578,BR103751,2
579,BR140012,1
580,BR118474,1
581,BR172547,6
582,BR131163,2
583,BR64988,2
584,BR14451,2
585,BR101083,2
586,BR120847,2
587,BR18908,2
588,BR159041,2
589,BR165240,2
590,BR24218,2
591,BR168193,2
592,BR171832,2
593,BR153450,1
594,BR25792,2
595,BR161541,2
596,BR25976,1
597,BR168681,2
598,BR175076,2
599,BR89282,2
600,BR112392,2
601,CN68917,1
602,BR32165,2
603,BR150023,2
604,BR76224,2
605,BR173277,4
606,BR91043,2
607,BR167914,2
608,BS12552,1
609,BS2345,1
610,BS11236,2
611,BS7082,1
612,BS8814,1
613,BS12506,1
614,BT9971,2
