,id_a,distancia,split_number,bf
0,AA36931,16,16,bbf
1,AB6349,16,16,bbf
2,AF8252,16,16,bbf
3,AJ10149,1,16,bbf
4,AK101486,1,16,bbf
5,AK77868,1,16,bbf
6,AK118666,1,16,bbf
7,AL4282,16,16,bbf
8,AL129571,7,16,bbf
9,AL137549,16,16,bbf
10,AL260012,16,16,bbf
11,AL31393,16,16,bbf
12,AL292664,16,16,bbf
13,AL90210,1,16,bbf
14,EH711937,1,16,bbf
15,AM74679,16,16,bbf
16,AM96926,1,16,bbf
17,AM30509,16,16,bbf
18,AM11878,16,16,bbf
19,AN184883,1,16,bbf
20,AN192980,16,16,bbf
21,AN195770,16,16,bbf
22,AN198038,16,16,bbf
23,AN121625,16,16,bbf
24,AN99584,1,16,bbf
25,AN102279,16,16,bbf
26,AW174965,1,16,bbf
27,AW6339,1,16,bbf
28,AY27393,1,16,bbf
29,DN71002,16,16,bbf
30,BD52290,1,16,bbf
31,BD138825,16,16,bbf
32,DD110802,16,16,bbf
33,BE400449,16,16,bbf
34,BE108939,16,16,bbf
35,BE274364,1,16,bbf
36,BE55827,1,16,bbf
37,BE78653,1,16,bbf
38,BE105527,1,16,bbf
39,BG8403,1,16,bbf
40,BH80872,16,16,bbf
41,BH102713,16,16,bbf
42,BJ42479,16,16,bbf
43,BK49547,1,16,bbf
44,BL226149,16,16,bbf
45,BL442077,16,16,bbf
46,BL38460,6,16,bbf
47,BN472445,16,16,bbf
48,BN390213,16,16,bbf
49,AF25802,16,16,bbf
50,BN431739,16,16,bbf
51,BN38691,16,16,bbf
52,BR115155,16,16,bbf
53,BR172547,16,16,bbf
54,BR168193,1,16,bbf
55,BW3555,1,16,bbf
56,BY528290,16,16,bbf
57,BY616914,16,16,bbf
58,BY518111,16,16,bbf
59,BY265322,1,16,bbf
60,AL210909,16,16,bbf
61,AK55337,10,16,bbf
62,BZ29111,1,16,bbf
63,CB5222,1,16,bbf
64,AK77330,1,16,bbf
65,CD15975,1,16,bbf
66,CD24236,16,16,bbf
67,CE37711,1,16,bbf
68,CE48228,16,16,bbf
69,CE13756,1,16,bbf
70,CG132476,16,16,bbf
71,CG116958,7,16,bbf
72,CG169627,16,16,bbf
73,CG134332,16,16,bbf
74,AW142867,1,16,bbf
75,CG169445,1,16,bbf
76,CG147105,1,16,bbf
77,CH31171,1,16,bbf
78,CJ55814,16,16,bbf
79,CJ22540,16,16,bbf
80,EH639228,1,16,bbf
81,CJ117700,16,16,bbf
82,CL45923,16,16,bbf
83,CN47457,16,16,bbf
84,CR6299,16,16,bbf
85,CS19040,16,16,bbf
86,CS31441,9,16,bbf
87,CW1114054,16,16,bbf
88,CW977883,16,16,bbf
89,CW53446,16,16,bbf
90,CW1141031,16,16,bbf
91,CW1105990,16,16,bbf
92,CW505158,1,16,bbf
93,CW13846,1,16,bbf
94,CW870230,1,16,bbf
95,CW986157,1,16,bbf
96,CW1034272,1,16,bbf
97,CW1066388,16,16,bbf
98,CG43610,1,16,bbf
99,CW1076758,16,16,bbf
100,CW1084105,8,16,bbf
101,CW847690,16,16,bbf
102,CW407449,1,16,bbf
103,CW888597,16,16,bbf
104,CZ15419,7,16,bbf
105,CZ88396,16,16,bbf
106,CZ43730,16,16,bbf
107,CZ101129,16,16,bbf
108,DA105751,16,16,bbf
109,DA115432,16,16,bbf
110,DA111415,16,16,bbf
111,DA11296,1,16,bbf
112,EP82216,16,16,bbf
113,DB137581,16,16,bbf
114,DB226493,16,16,bbf
115,DB226201,10,16,bbf
116,DD83289,1,16,bbf
117,DE17257,16,16,bbf
118,DE294320,16,16,bbf
119,AK9098,16,16,bbf
120,DB187502,16,16,bbf
121,DK37986,16,16,bbf
122,DK34709,16,16,bbf
123,DK18914,16,16,bbf
124,DK35398,16,16,bbf
125,DL188456,16,16,bbf
126,DL254358,16,16,bbf
127,CW776061,16,16,bbf
128,DL240464,1,16,bbf
129,DL234008,16,16,bbf
130,CL47115,16,16,bbf
131,DN21831,1,16,bbf
132,DP30715,1,16,bbf
133,DR112159,16,16,bbf
134,DS26788,1,16,bbf
135,DT135273,16,16,bbf
136,DW33438,1,16,bbf
137,DX20968,16,16,bbf
138,DX21318,16,16,bbf
139,DZ25730,1,16,bbf
140,DZ51595,16,16,bbf
141,EA34052,1,16,bbf
142,EB66859,16,16,bbf
143,EB47053,16,16,bbf
144,ED29425,16,16,bbf
145,ED12970,16,16,bbf
146,EF161021,16,16,bbf
147,EF67961,16,16,bbf
148,EF110604,1,16,bbf
149,EG15569,1,16,bbf
150,EH8095,16,16,bbf
151,EH868685,16,16,bbf
152,EH550387,16,16,bbf
153,EH705163,16,16,bbf
154,EH383993,16,16,bbf
155,EH572779,16,16,bbf
156,EH545176,16,16,bbf
157,EH931844,16,16,bbf
158,DH36371,16,16,bbf
159,CA47394,1,16,bbf
160,EH275385,1,16,bbf
161,EH865368,1,16,bbf
162,EH480190,16,16,bbf
163,EH424113,8,16,bbf
164,EH632884,1,16,bbf
165,EH489264,16,16,bbf
166,EP35093,16,16,bbf
167,EP12857,16,16,bbf
168,ER27156,1,16,bbf
169,ES23461,16,16,bbf
